niveau,domaine,question,optionA,optionB,optionC,optionD,reponse_correcte,explication,reference
3,Présentation,Un patient présente des céphalées matinales et épistaxis. Sa PA est 180/110 mmHg. Quelle est la conduite à tenir ?,Urgence hypertensive - hospitalisation,Poussée hypertensive - traitement ambulatoire,HTA maligne - soins intensifs,Crise hypertensive - observation,B,PA élevée avec symptômes mineurs constitue une poussée hypertensive gérable en ambulatoire avec surveillance.,Hypertension Crisis Guidelines
3,Suivi,Un patient débute un IECA. À quel intervalle doit-on vérifier la créatinine et le potassium ?,1-2 semaines,2-4 semaines,1-2 mois,3-6 mois,A,La créatinine et le potassium doivent être vérifiés 1-2 semaines après l'initiation d'un IECA pour détecter une insuffisance rénale ou hyperkaliémie.,CKD Guidelines 2020
4,Épidémiologie,Analysez les données suivantes: Dans une population de 10000 personnes âgées de 40-65 ans suivie 5 ans la prévalence d'HTA passe de 25% à 35%. Calculez l'incidence annuelle.,2% par année,4% par année,20 cas pour 1000 par année,40 cas pour 1000 par année,C,Incidence = (nouvelles HTA ÷ population à risque) ÷ temps = (1000÷7500)÷5 = 0.0267 = 26.7‰ ≈ 20/1000 par année.,Epidemiology Textbook 2022
4,Physiopathologie,Analysez ce cas: Patient avec HTA résistante aldostérone élevée (600 pmol/L) rénine supprimée (<1 mU/L). L'IRM surrénalienne montre un nodule de 2.5 cm à droite. Quel est le diagnostic le plus probable et la conduite ?,Hyperplasie bilatérale - spironolactone,Adénome unilatéral - surrénalectomie,Carcinome surrénalien - chimiothérapie,Phéochromocytome - alpha-bloqueurs,B,Ratio aldostérone/rénine >750 avec nodule >1 cm évoque un adénome producteur d'aldostérone justifiant une surrénalectomie.,Endocrine Society Guidelines
4,Diagnostic,Analysez cette séquence diagnostique: PA bureau 165/98 MAPA moyenne 158/95 PA domicile 152/91. Le patient est anxieux en milieu médical. Interprétez ces résultats.,HTA confirmée sévère,HTA avec composante blouse blanche,HTA blanche pure,HTA masquée,B,Toutes les mesures sont élevées mais l'écart bureau-MAPA <10 mmHg suggère une HTA réelle avec légère composante blouse blanche.,Hypertension Diagnosis Algorithm
4,Pharmacologie,Analysez cette interaction: Patient sous warfarine (INR stable à 2.3) débute valsartan 160 mg. Après 2 semaines INR=3.8. Expliquez le mécanisme et la conduite.,Inhibition CYP2C9 - réduire warfarine,Déplacement protéique - surveiller INR,Effet pharmacodynamique - pas d'interaction,Erreur de laboratoire - répéter,B,Les ARA peuvent déplacer la warfarine de ses liaisons protéiques augmentant la fraction libre et l'INR nécessitant un suivi rapproché.,Drug Interactions Database
4,Stratification,Analysez ce profil de risque: Homme 58 ans HTA diabétique fumeur cholestérol 6.2 mmol/L HDL 0.9 mmol/L créatinine 180 μmol/L. Stratifiez le risque et recommandez l'objectif tensionnel.,Risque modéré - objectif <140/90,Risque élevé - objectif <130/80,Risque très élevé - objectif <130/80,Risque extrême - objectif <120/80,C,Diabète + IRC (DFG<60) + tabagisme = risque très élevé justifiant un objectif <130/80 mmHg selon ESC/ESH.,ESC/ESH Guidelines 2023
4,Objectifs,Analysez ce dilemme thérapeutique: Patient 82 ans fragile PA 155/85 mmHg sous bisoprolol 5 mg. Présente vertiges et chutes. Comment adapter l'objectif ?,Maintenir <140/90 - changer molécule,Objectif souple 140-150/90 - réduire dose,Arrêter traitement si PA <160/90,Objectif strict <130/80 - optimiser,B,Chez les patients âgés fragiles un objectif tensionnel souple (140-150/90) réduit le risque de chutes tout en conservant une protection CV.,HYVET Trial Analysis
4,MHV,Analysez l'efficacité de ce programme: Patient réduit sodium de 6g à 3g/jour augmente potassium de 2g à 4g/jour perd 8 kg. PA passe de 158/94 à 138/86 mmHg. Évaluez la contribution de chaque intervention.,Sodium:8 mmHg Potassium:3 mmHg Poids:10 mmHg,Sodium:5 mmHg Potassium:2 mmHg Poids:15 mmHg,Sodium:10 mmHg Potassium:5 mmHg Poids:5 mmHg,Effet synergique non quantifiable individuellement,D,Les MHV ont des effets synergiques et interactifs rendant difficile la quantification individuelle de chaque intervention.,DASH-Weight Loss Study
4,Pharmacothérapie,Analysez cette HTA résistante: Homme 52 ans PA 168/96 mmHg sous périndopril 8mg + amlodipine 10mg + hydrochlorothiazide 25mg. Bilan rénal et endocrinien normal. Quelle est l'approche optimale ?,Remplacer HCTZ par chlorthalidone,Ajouter spironolactone 25 mg,Remplacer périndopril par olmesartan,Ajouter doxazosine LP 4 mg,B,En HTA résistante vraie la spironolactone 25 mg est l'agent de 4e ligne recommandé avant d'explorer d'autres options.,AHA Resistant HTN Statement
4,Présentation,Analysez cette urgence: Femme 45 ans PA 220/125 mmHg céphalées intenses vomissements flou visuel. Fundoscopie: hémorragies rétiniennes œdème papillaire. Créatinine 180 μmol/L. Conduite immédiate ?,Nicardipine IV réduction 10-15% en 1h,Labétalol IV réduction 25% en 2h,Sublingual captopril réduction rapide,Furosémide IV puis antihypertenseur,A,Urgence hypertensive avec atteinte d'organes nécessite une réduction contrôlée de 10-15% la première heure avec nicardipine IV.,Hypertensive Emergency Guidelines
4,Suivi,Analysez cette évolution: Patient diabétique sous IECA développe une créatinine passant de 110 à 165 μmol/L en 3 mois. K+ = 5.2 mmol/L. PA bien contrôlée. Évaluez la situation et recommandez.,Progression naturelle IRC - continuer IECA,Sténose artère rénale possible - angio-IRM,Néphrotoxicité IECA - arrêter temporairement,Déshydratation - réhydrater puis réévaluer,B,Élévation rapide créatinine >30% sous IECA chez diabétique évoque une sténose artère rénale justifiant une imagerie vasculaire rénale.,Kidney Disease Guidelines
4, Suivi, Test, Test A
